"filename", "language", "TypeScript React", "SCSS", "PostCSS", "JavaScript", "TypeScript", "XML", "JSON", "comment", "blank", "total"
"c:\Users\g.maillot\source\Spotify_clone\src\component\LeftMenu\MenuLink\LikedTracksLink.stories.tsx", "TypeScript React", 15, 0, 0, 0, 0, 0, 0, 1, 3, 19
"c:\Users\g.maillot\source\Spotify_clone\src\component\LeftMenu\MenuLink\LikedTraksLink.tsx", "TypeScript React", 50, 0, 0, 0, 0, 0, 0, 1, 9, 60
"c:\Users\g.maillot\source\Spotify_clone\src\component\LeftMenu\MenuLink\MenuLink.stories.tsx", "TypeScript React", 15, 0, 0, 0, 0, 0, 0, 1, 8, 24
"c:\Users\g.maillot\source\Spotify_clone\src\component\LeftMenu\MenuLink\MenuLink.tsx", "TypeScript React", 77, 0, 0, 0, 0, 0, 0, 2, 10, 89
"c:\Users\g.maillot\source\Spotify_clone\src\component\PlayBar\PlayBar.tsx", "TypeScript React", 7, 0, 0, 0, 0, 0, 0, 1, 3, 11
"c:\Users\g.maillot\source\Spotify_clone\src\component\PlayBar\Playbar.stories.tsx", "TypeScript React", 8, 0, 0, 0, 0, 0, 0, 1, 4, 13
"c:\Users\g.maillot\source\Spotify_clone\src\component\SearchInput\SearchInput.tsx", "TypeScript React", 31, 0, 0, 0, 0, 0, 0, 3, 7, 41
"c:\Users\g.maillot\source\Spotify_clone\src\component\Skeleton\CardSkeleton.tsx", "TypeScript React", 48, 0, 0, 0, 0, 0, 0, 0, 4, 52
"c:\Users\g.maillot\source\Spotify_clone\src\component\Skeleton\UserSkeleton.tsx", "TypeScript React", 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\g.maillot\source\Spotify_clone\src\component\Spinner\Spinner.tsx", "TypeScript React", 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\g.maillot\source\Spotify_clone\src\component\Spinner\spinner.scss", "SCSS", 0, 44, 0, 0, 0, 0, 0, 0, 8, 52
"c:\Users\g.maillot\source\Spotify_clone\src\component\TabView\Albums.tsx", "TypeScript React", 56, 0, 0, 0, 0, 0, 0, 1, 5, 62
"c:\Users\g.maillot\source\Spotify_clone\src\component\TabView\Compiles.tsx", "TypeScript React", 56, 0, 0, 0, 0, 0, 0, 1, 5, 62
"c:\Users\g.maillot\source\Spotify_clone\src\component\TabView\Releases.tsx", "TypeScript React", 56, 0, 0, 0, 0, 0, 0, 1, 5, 62
"c:\Users\g.maillot\source\Spotify_clone\src\component\TabView\Singles.tsx", "TypeScript React", 56, 0, 0, 0, 0, 0, 0, 1, 5, 62
"c:\Users\g.maillot\source\Spotify_clone\src\component\TabView\TabView.stories.tsx", "TypeScript React", 15, 0, 0, 0, 0, 0, 0, 1, 6, 22
"c:\Users\g.maillot\source\Spotify_clone\src\component\TabView\TabView.tsx", "TypeScript React", 103, 0, 0, 0, 0, 0, 0, 6, 19, 128
"c:\Users\g.maillot\source\Spotify_clone\src\component\TabView\TitleHeader.tsx", "TypeScript React", 30, 0, 0, 0, 0, 0, 0, 1, 6, 37
"c:\Users\g.maillot\source\Spotify_clone\src\component\Tables\TableArtist.stories.tsx", "TypeScript React", 94, 0, 0, 0, 0, 0, 0, 1, 15, 110
"c:\Users\g.maillot\source\Spotify_clone\src\component\Tables\TableArtist.tsx", "TypeScript React", 128, 0, 0, 0, 0, 0, 0, 5, 22, 155
"c:\Users\g.maillot\source\Spotify_clone\src\component\Tables\TableDiscography.stories.tsx", "TypeScript React", 34, 0, 0, 0, 0, 0, 0, 1, 6, 41
"c:\Users\g.maillot\source\Spotify_clone\src\component\Tables\TableDiscography.tsx", "TypeScript React", 126, 0, 0, 0, 0, 0, 0, 4, 17, 147
"c:\Users\g.maillot\source\Spotify_clone\src\component\Tables\TableEpisode.stories.tsx", "TypeScript React", 43, 0, 0, 0, 0, 0, 0, 1, 5, 49
"c:\Users\g.maillot\source\Spotify_clone\src\component\Tables\TableEpisodes.tsx", "TypeScript React", 109, 0, 0, 0, 0, 0, 0, 6, 15, 130
"c:\Users\g.maillot\source\Spotify_clone\src\component\Tables\TableProfil.stories.tsx", "TypeScript React", 54, 0, 0, 0, 0, 0, 0, 1, 6, 61
"c:\Users\g.maillot\source\Spotify_clone\src\component\Tables\TableProfil.tsx", "TypeScript React", 118, 0, 0, 0, 0, 0, 0, 5, 17, 140
"c:\Users\g.maillot\source\Spotify_clone\src\component\Tables\TableTracks.stories.tsx", "TypeScript React", 117, 0, 0, 0, 0, 0, 0, 1, 4, 122
"c:\Users\g.maillot\source\Spotify_clone\src\component\Tables\TableTracks.tsx", "TypeScript React", 221, 0, 0, 0, 0, 0, 0, 5, 24, 250
"c:\Users\g.maillot\source\Spotify_clone\src\component\Typo\H1\H1.stories.tsx", "TypeScript React", 9, 0, 0, 0, 0, 0, 0, 1, 6, 16
"c:\Users\g.maillot\source\Spotify_clone\src\component\Typo\H1\H1.tsx", "TypeScript React", 15, 0, 0, 0, 0, 0, 0, 1, 3, 19
"c:\Users\g.maillot\source\Spotify_clone\src\component\Typo\H2\H2.stories.tsx", "TypeScript React", 9, 0, 0, 0, 0, 0, 0, 6, 5, 20
"c:\Users\g.maillot\source\Spotify_clone\src\component\Typo\H2\H2.tsx", "TypeScript React", 47, 0, 0, 0, 0, 0, 0, 1, 3, 51
"c:\Users\g.maillot\source\Spotify_clone\src\component\Typo\Paragraph\Paragraph.stories.tsx", "TypeScript React", 11, 0, 0, 0, 0, 0, 0, 6, 5, 22
"c:\Users\g.maillot\source\Spotify_clone\src\component\Typo\Paragraph\Paragraph.tsx", "TypeScript React", 56, 0, 0, 0, 0, 0, 0, 1, 4, 61
"c:\Users\g.maillot\source\Spotify_clone\src\component\UtilsComponents\InfiniteScroll.tsx", "TypeScript React", 25, 0, 0, 0, 0, 0, 0, 0, 6, 31
"c:\Users\g.maillot\source\Spotify_clone\src\component\UtilsComponents\PanelHideContent.tsx", "TypeScript React", 33, 0, 0, 0, 0, 0, 0, 1, 10, 44
"c:\Users\g.maillot\source\Spotify_clone\src\component\UtilsComponents\ProtectedRoute.tsx", "TypeScript React", 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\g.maillot\source\Spotify_clone\src\component\UtilsComponents\RenderIf.tsx", "TypeScript React", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\g.maillot\source\Spotify_clone\src\index.tsx", "TypeScript React", 22, 0, 0, 0, 0, 0, 0, 2, 5, 29
"c:\Users\g.maillot\source\Spotify_clone\src\pages\Artist.tsx", "TypeScript React", 233, 0, 0, 0, 0, 0, 0, 3, 17, 253
"c:\Users\g.maillot\source\Spotify_clone\src\pages\Collection\Albums.tsx", "TypeScript React", 43, 0, 0, 0, 0, 0, 0, 2, 8, 53
"c:\Users\g.maillot\source\Spotify_clone\src\pages\Collection\Artists.tsx", "TypeScript React", 41, 0, 0, 0, 0, 0, 0, 3, 7, 51
"c:\Users\g.maillot\source\Spotify_clone\src\pages\Collection\Episodes.tsx", "TypeScript React", 49, 0, 0, 0, 0, 0, 0, 4, 8, 61
"c:\Users\g.maillot\source\Spotify_clone\src\pages\Collection\Genre.tsx", "TypeScript React", 72, 0, 0, 0, 0, 0, 0, 3, 9, 84
"c:\Users\g.maillot\source\Spotify_clone\src\pages\Collection\LikedTracks.tsx", "TypeScript React", 68, 0, 0, 0, 0, 0, 0, 4, 10, 82
"c:\Users\g.maillot\source\Spotify_clone\src\pages\Collection\Playlists.tsx", "TypeScript React", 68, 0, 0, 0, 0, 0, 0, 3, 10, 81
